code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled
CSN,442 (3),KLAX,ZSPD,,B-2010,37000,,10:00,1:21,15:21,,783,C,3,1
CSN,442 (4),KLAX,ZSPD,,B-2010,37000,,20:55,12:36,15:41,,783,C,5,1
CSN,443 (1),ZSPD,KLAX,,B-2042,38000,,16:05,4:30,12:25,,783,C,135,1
CSN,443 (2),ZSPD,KLAX,,B-2042,38000,,13:00,0:02,11:02,,783,C,2,1
CSN,443 (3),ZSPD,KLAX,,B-2042,38000,,9:40,20:32,10:52,,783,C,4,1
CSN,443 (4),ZSPD,KLAX,,B-2042,38000,,14:00,1:17,11:17,,783,C,6,1
CSN,444 (1),KLAX,ZSPD,,B-2080,37000,,7:30,19:55,12:25,,783,C,350,1
CSN,444 (2),KLAX,ZSPD,,B-2080,37000,,6:30,19:55,13:25,,783,C,6,1
CSN,444 (3),KLAX,ZSPD,,B-2080,37000,,18:45,10:02,15:17,,783,C,2,1
CSN,444 (4),KLAX,ZSPD,,B-2080,37000,,16:55,8:39,15:44,,783,C,4,1
CSN,445 (1),ZSPD,KLAX,,B-2081,38000,,19:00,7:25,12:25,,783,C,6,1
CSN,445 (2),ZSPD,KLAX,,B-2081,38000,,3:48,15:10,11:22,,783,C,0,1
CSN,446 (1),KLAX,ZSPD,,B-2081,37000,,10:25,21:50,11:25,,783,C,1,1
CSN,446 (2),KLAX,ZSPD,,B-2081,37000,,9:25,21:50,12:25,,783,C,0,1
CSN,451 (1),ZSPD,EHAM,,B-20EM,38000,,16:25,4:20,11:55,,677,P,26,1
CSN,451 (2),ZSPD,EHAM,,B-20EM,38000,,16:25,6:50,14:25,,677,P,4,1
CSN,451 (3),ZSPD,EHAM,,B-20EM,38000,,0:28,11:38,11:10,,677,P,5,1
CSN,451 (4),ZSPD,EHAM,,B-20EM,38000,,3:30,15:16,11:46,,677,P,0,1
CSN,452 (1),EHAM,ZSPD,,B-20EM,37000,,7:00,17:55,10:55,,677,P,14,1
CSN,452 (2),EHAM,ZSPD,,B-20EM,37000,,9:40,17:55,8:15,,677,P,6,1
CSN,452 (3),EHAM,ZSPD,,B-20EM,37000,,17:24,17:19,23:55,,677,P,3,1
CSN,452 (4),EHAM,ZSPD,,B-20EM,37000,,9:40,19:53,10:13,,677,P,5,1
CSN,452 (5),EHAM,ZSPD,,B-20EM,37000,,17:00,3:08,10:08,,677,P,0,1
CSN,453,ZSPD,EHAM,,B-2027,38000,,16:25,7:00,14:35,,677,C,5,1
CSN,454 (1),EHAM,ZSPD,,B-2027,37000,,9:40,17:55,8:15,,677,C,0,1
CSN,454 (2),EHAM,ZSPD,,B-2027,37000,,14:55,1:15,10:20,,677,C,6,1
CSN,461 (1),ZSPD,EDDF,,B-2081,38000,,22:50,11:20,12:30,,673,C,246,1
CSN,461 (2),ZSPD,EDDF,,B-2081,38000,,18:30,6:44,12:14,,673,C,0,1
CSN,462 (1),EDDF,ZSPD,,B-2081,37000,,14:20,22:55,8:35,,673,C,146,1
CSN,462 (2),EDDF,ZSPD,,B-2081,37000,,16:00,2:20,10:20,,673,C,5,1
CSN,462 (3),EDDF,ZSPD,,B-2081,37000,,14:20,0:48,10:28,,673,C,3,1
CSN,462 (4),EDDF,ZSPD,,B-2081,37000,,18:30,5:19,10:49,,673,C,0,1
CSN,463 (1),ZSPD,EDDF,,B-2080,38000,,22:50,11:20,12:30,,673,C,350,1
CSN,463 (2),ZSPD,EDDF,,B-2080,38000,,3:20,15:20,12:00,,673,C,2,1
CSN,464 (1),EDDF,ZSPD,,B-2081,37000,,14:20,22:55,8:35,,673,C,250,1
CSN,464 (2),EDDF,ZSPD,,B-2081,37000,,14:20,0:43,10:23,,673,C,4,1
CSN,464 (3),EDDF,ZSPD,,B-2081,37000,,18:00,4:17,10:17,,673,C,1,1
CSN,464 (4),EDDF,ZSPD,,B-2081,37000,,17:00,3:25,10:25,,673,C,6,1
CSN,465 (1A),ZGGG,EDDF,,B-2028,38000,,17:00,5:00,12:00,,685,C,40,1
